Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,8,8,0
3,6,0,0,8,7,-1
3,5,0,0,8,8,-1
3,4,0,0,9,8,-1
3,3,0,0,8,8,-1
3,2,0,0,9,8,-1
3,1,0,0,8,8,-1
0,1,1,0,8,9,-1
0,1,2,0,7,9,-1
2,1,1,0,8,9,-1
3,0,1,0,7,9,-1
0,0,2,0,7,8,-1
0,0,3,0,6,8,-1
0,0,4,0,7,8,-1
0,0,5,0,7,9,-1
1,1,5,0,8,9,-1
3,0,5,0,7,9,-1
1,1,5,0,7,8,-1
3,0,5,0,7,9,-1
1,1,5,0,7,8,-1
3,0,5,0,7,9,-1
1,1,5,0,8,9,-1
3,0,5,0,7,9,-1
1,1,5,0,8,9,-1
3,0,5,0,7,9,-1
1,1,5,0,7,8,-1
3,0,5,0,8,8,-1
0,0,6,0,8,9,-1
0,0,7,1,7,8,-1
1,1,7,1,5,8,-1
0,1,8,1,3,8,-1
0,1,9,1,2,8,-1
0,1,10,1,1,9,-1
1,2,10,1,1,10,-1
0,2,11,1,2,10,-1
1,3,11,1,3,11,-101
1,3,11,1,3,11,-101
