Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,11,7,0
1,8,0,0,11,6,-1
1,9,0,1,11,7,-1
0,9,1,0,12,7,-1
2,9,0,0,12,6,-1
3,8,0,0,11,6,-1
1,9,0,0,12,6,-1
0,9,1,0,11,6,-1
3,8,1,0,12,6,-1
0,8,2,0,11,6,-1
2,8,1,0,12,6,-1
2,8,0,0,11,6,-1
0,8,1,0,12,6,-1
1,9,1,0,11,6,-1
2,9,0,0,12,6,-1
0,9,1,0,11,6,-1
2,9,0,1,11,7,-1
3,8,0,0,11,6,-1
1,9,0,0,12,6,-1
0,9,1,0,11,6,-1
3,8,1,0,12,6,-1
2,8,0,0,11,6,-1
3,7,0,0,11,7,-1
1,8,0,0,11,6,-1
1,9,0,0,12,6,-1
3,8,0,0,11,6,-1
3,7,0,0,11,7,-1
0,7,1,0,11,6,-1
1,8,1,0,12,6,-1
2,8,0,0,13,6,-1
1,9,0,0,13,7,-1
0,9,1,0,13,6,-1
3,8,1,0,13,5,-1
3,7,1,0,13,6,-1
0,7,2,0,13,5,-1
1,8,2,0,13,6,-1
2,8,1,0,13,5,-1
2,8,0,0,13,6,-1
0,8,1,0,13,5,-1
3,7,1,0,13,6,-1
0,7,2,0,13,5,-1
3,6,2,0,13,6,-1
3,5,2,0,13,5,-1
0,5,3,0,13,6,-1
0,5,4,0,13,5,-1
3,4,4,0,13,6,-1
3,3,4,0,13,5,-1
0,3,5,0,13,6,-1
2,3,4,0,13,5,-1
0,3,5,0,13,6,-1
2,3,4,0,13,5,-1
0,3,5,0,13,6,-1
2,3,4,0,13,5,-1
0,3,5,0,13,6,-1
2,3,4,0,13,5,-1
0,3,5,0,13,6,-1
2,3,4,0,13,5,-1
0,3,5,0,13,6,-1
0,3,6,0,13,5,-1
3,2,6,0,13,6,-1
0,2,7,0,12,6,-1
0,2,8,0,11,6,-1
0,2,9,1,12,6,-1
1,3,9,0,11,7,-1
3,2,9,0,10,7,-1
3,1,9,0,8,7,-1
0,1,10,0,9,7,-1
3,0,10,0,8,7,-1
1,1,10,0,9,7,-1
2,1,9,0,8,7,-1
0,1,10,0,9,7,-1
3,0,10,0,8,7,-1
1,1,10,0,9,7,-1
2,1,9,0,8,7,-1
1,2,9,1,9,7,-1
1,3,9,0,8,7,-1
3,2,9,1,9,7,-1
2,2,8,0,8,7,-1
0,2,9,1,9,7,-1
3,1,9,0,8,7,-1
1,2,9,1,9,7,-1
3,1,9,0,8,7,-1
1,2,9,1,9,7,-1
1,3,9,0,8,7,-1
0,3,10,0,9,7,-1
2,3,9,0,8,7,-1
3,2,9,1,9,7,-1
1,3,9,0,8,7,-1
3,2,9,1,9,7,-1
1,3,9,0,9,6,-1
3,2,9,1,9,7,-1
3,1,9,0,8,7,-1
1,2,9,1,9,7,-1
1,3,9,0,8,7,-1
0,3,10,0,9,7,-1
2,3,9,0,8,7,-1
3,2,9,1,9,7,-1
3,1,9,0,8,7,-1
1,2,9,1,9,7,-1
3,1,9,0,8,7,-1
1,2,9,1,9,7,-1
2,2,8,0,8,7,-1
0,2,9,1,9,7,-1
3,1,9,0,8,7,-1
1,2,9,1,9,7,-1
1,3,9,0,8,7,-1
3,2,9,1,9,7,-1
2,2,8,0,8,7,-1
2,2,7,0,9,7,-1
2,2,6,0,8,7,-1
0,2,7,0,9,7,-1
2,2,6,0,8,7,-1
0,2,7,0,9,7,-1
0,2,8,0,9,8,-1
0,2,9,0,9,9,-1
2,2,8,0,8,9,-1
0,2,9,0,7,9,-1
1,3,9,0,6,9,-1
3,2,9,0,7,9,-1
3,1,9,0,6,9,-1
0,1,10,0,6,8,-1
3,0,10,1,5,8,-1
1,1,10,1,4,8,-1
3,0,10,1,5,8,-1
1,1,10,1,4,8,-1
0,1,11,0,5,8,-1
2,1,10,1,5,7,-1
2,1,9,0,4,8,-1
0,1,10,1,5,7,-1
2,1,9,1,5,8,-1
0,1,10,1,4,8,-1
2,1,9,1,5,8,-1
0,1,10,1,4,8,-1
2,1,9,0,5,7,-1
0,1,10,1,4,8,-1
2,1,9,1,5,8,-1
1,2,9,1,4,8,-1
3,1,9,1,5,8,-1
1,2,9,0,6,8,-1
1,3,9,0,5,8,-1
3,2,9,0,5,7,-1
1,3,9,0,5,8,-1
3,2,9,0,6,8,-1
1,3,9,0,5,8,-1
3,2,9,1,4,8,-1
1,3,9,1,5,7,-1
0,3,10,0,4,8,-1
2,3,9,0,5,8,-1
3,2,9,1,4,8,-1
1,3,9,0,5,8,-1
3,2,9,1,4,8,-1
1,3,9,1,5,7,-1
3,2,9,1,4,8,-1
1,3,9,1,5,7,-1
3,2,9,1,5,8,-1
1,3,9,1,4,8,-1
3,2,9,1,5,8,-1
1,3,9,1,4,8,-1
3,2,9,0,5,7,-1
1,3,9,1,4,8,-1
3,2,9,0,5,7,-1
1,3,9,0,5,8,-1
3,2,9,1,4,8,-1
1,3,9,0,5,8,-1
3,2,9,1,4,8,-1
1,3,9,0,5,8,-1
3,2,9,1,4,8,-1
1,3,9,1,5,7,-1
3,2,9,1,5,8,-1
3,1,9,0,4,8,-1
1,2,9,0,5,7,-1
2,2,8,0,5,6,-1
0,2,9,0,5,7,-1
3,1,9,1,5,8,-1
1,2,9,1,4,8,-1
3,1,9,0,5,7,-1
0,1,10,1,4,8,-1
2,1,9,1,5,8,-1
0,1,10,0,6,8,-1
2,1,9,0,6,9,-1
0,1,10,0,6,10,-1
0,1,11,0,5,10,-1
0,1,12,0,5,11,-1
2,1,11,0,6,11,-1
3,0,11,0,5,11,-1
2,0,10,0,4,11,-1
0,0,11,0,3,11,-1
