Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,9,0
1,8,0,0,2,9,-1
1,9,0,0,1,9,-1
1,10,0,0,0,9,-1
1,11,0,0,1,9,-1
1,12,0,0,1,10,-1
1,13,0,0,1,9,-1
0,13,1,0,0,9,-1
0,13,2,0,2,9,-1
0,13,3,0,3,9,-1
0,13,4,0,4,9,-1
0,13,5,0,4,8,-1
0,13,6,0,4,7,-1
0,13,7,0,4,6,-1
1,14,7,0,4,5,-1
0,14,8,0,5,5,-1
0,14,9,0,5,4,-1
0,14,10,0,6,4,-1
0,14,11,0,7,4,-1
0,14,12,0,6,4,-1
0,14,13,0,5,4,-1
0,14,14,0,4,4,-1
3,13,14,0,4,4,-1
3,12,14,0,4,3,-1
3,11,14,0,4,4,-1
3,10,14,0,5,4,-1
3,9,14,0,5,4,-1
3,8,14,0,5,5,-1
3,7,14,0,5,4,999
3,7,14,0,5,4,999
