Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,0,1,-1
1,8,1,0,1,1,-1
0,8,2,0,2,1,-1
2,8,1,0,2,0,-1
3,7,1,0,3,0,-1
0,7,2,0,4,0,-1
1,8,2,0,3,0,-1
3,7,2,0,3,1,-1
1,8,2,0,2,1,-1
3,7,2,0,3,1,-1
3,6,2,0,3,0,-1
1,7,2,0,3,1,-1
0,7,3,0,3,0,-1
0,7,4,0,4,0,-1
1,8,4,0,3,0,-1
0,8,5,0,4,0,-1
3,7,5,0,3,0,-1
0,7,6,0,3,1,-1
1,8,6,0,3,0,-1
0,8,7,0,3,1,-1
2,8,6,0,2,1,-1
0,8,7,0,1,1,-1
0,8,8,0,2,1,-1
0,8,9,0,3,1,-1
0,8,10,0,3,0,-1
3,7,10,0,3,1,-1
0,7,11,0,2,1,-1
3,6,11,0,1,1,-1
0,6,12,0,2,1,-1
0,6,13,0,3,1,-1
2,6,12,0,2,1,-1
1,7,12,0,1,1,-1
2,7,11,0,0,1,-1
1,8,11,0,0,0,-1
0,8,12,0,0,1,-1
1,9,12,0,1,1,-1
0,9,13,0,0,1,-1
1,10,13,0,1,1,-1
3,9,13,0,0,1,-1
2,9,12,0,1,1,-1
3,8,12,0,2,1,-1
0,8,13,0,3,1,-1
0,8,14,0,2,1,-1
3,7,14,0,3,1,999
3,7,14,0,3,1,999
