Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,3,4,0
1,8,0,0,4,4,-1
1,9,0,0,5,4,-1
1,10,0,0,4,4,-1
1,11,0,0,5,4,-1
1,12,0,0,4,4,-1
0,12,1,0,5,4,-1
2,12,0,0,4,4,-1
0,12,1,0,5,4,-1
1,13,1,0,6,4,-1
0,13,2,0,6,3,-1
1,14,2,0,6,4,-1
3,13,2,0,6,5,-1
0,13,3,0,6,4,-1
2,13,2,0,7,4,-1
3,12,2,0,8,5,-1
1,13,2,0,8,4,-1
0,13,3,0,8,5,-1
0,13,4,0,8,4,-1
0,13,5,0,8,5,-1
3,12,5,0,8,4,-1
1,13,5,0,8,5,-1
0,13,6,0,8,4,-1
1,14,6,0,8,5,-1
2,14,5,0,8,4,-1
3,13,5,0,8,5,-1
0,13,6,0,8,4,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
0,13,7,0,8,5,-1
2,13,6,0,8,4,-1
2,13,5,0,7,4,-1
0,13,6,0,6,4,-1
2,13,5,0,6,3,-1
0,13,6,0,7,3,-1
1,14,6,0,7,4,-1
3,13,6,0,8,4,-1
0,13,7,0,8,5,-1
2,13,6,0,8,4,-1
0,13,7,0,8,5,-1
0,13,8,0,8,4,-1
2,13,7,0,8,5,-1
2,13,6,0,8,4,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
1,14,6,0,8,5,-1
2,14,5,0,8,4,-1
0,14,6,0,8,5,-1
3,13,6,0,8,4,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
2,13,5,0,8,5,-1
3,12,5,0,8,4,-1
1,13,5,0,8,5,-1
0,13,6,0,8,4,-1
2,13,5,0,8,5,-1
1,14,5,0,8,4,-1
0,14,6,0,8,5,-1
3,13,6,0,8,4,-1
1,14,6,0,7,4,-1
3,13,6,0,8,4,-1
3,12,6,0,8,5,-1
1,13,6,0,8,6,-1
2,13,5,0,8,5,-1
1,14,5,0,8,6,-1
3,13,5,0,8,5,-1
0,13,6,0,8,4,-1
3,12,6,0,8,5,-1
2,12,5,0,8,4,-1
1,13,5,0,8,5,-1
0,13,6,0,8,4,-1
3,12,6,0,8,5,-1
2,12,5,0,8,4,-1
1,13,5,0,8,5,-1
3,12,5,0,8,4,-1
0,12,6,0,8,5,-1
1,13,6,0,8,4,-1
1,14,6,0,8,5,-1
3,13,6,0,8,4,-1
0,13,7,0,8,5,-1
2,13,6,0,8,4,-1
1,14,6,0,7,4,-1
2,14,5,0,8,4,-1
3,13,5,0,8,5,-1
2,13,4,0,8,4,-1
0,13,5,0,8,5,-1
0,13,6,0,8,4,-1
2,13,5,0,8,5,-1
3,12,5,0,8,4,-1
0,12,6,0,8,5,-1
1,13,6,0,8,4,-1
3,12,6,0,8,5,-1
1,13,6,0,8,4,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
3,12,6,0,8,5,-1
2,12,5,0,8,4,-1
0,12,6,0,8,5,-1
1,13,6,0,8,6,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
3,12,6,0,8,5,-1
1,13,6,0,8,4,-1
2,13,5,0,8,5,-1
1,14,5,0,8,4,-1
3,13,5,0,8,5,-1
0,13,6,0,8,6,-1
2,13,5,0,8,5,-1
0,13,6,0,8,4,-1
3,12,6,0,8,5,-1
2,12,5,0,8,6,-1
0,12,6,0,8,7,-1
1,13,6,0,8,6,-1
3,12,6,0,8,7,-1
1,13,6,0,7,7,-1
0,13,7,0,8,7,-1
2,13,6,0,8,6,-1
3,12,6,0,8,5,-1
1,13,6,0,8,4,-1
1,14,6,0,7,4,-1
2,14,5,0,7,3,-1
3,13,5,0,7,4,-1
0,13,6,0,7,3,-1
3,12,6,0,7,4,-1
2,12,5,0,8,4,-1
1,13,5,0,8,5,-1
3,12,5,0,8,4,-1
1,13,5,0,7,4,-1
0,13,6,0,8,4,-1
0,13,7,0,8,5,-1
0,13,8,0,8,4,-1
0,13,9,0,8,5,-1
0,13,10,0,8,4,-1
1,14,10,0,8,5,-1
3,13,10,0,8,4,-1
1,14,10,0,8,5,-1
0,14,11,0,8,4,-1
3,13,11,0,8,5,-1
1,14,11,0,8,4,-1
3,13,11,0,8,5,-1
1,14,11,0,8,4,-1
3,13,11,0,8,5,-1
2,13,10,0,8,4,-1
0,13,11,0,8,5,-1
2,13,10,0,8,4,-1
2,13,9,0,7,4,-1
0,13,10,0,8,4,-1
1,14,10,0,8,5,-1
0,14,11,0,8,4,-1
2,14,10,0,8,5,-1
0,14,11,0,8,4,-1
2,14,10,0,8,5,-1
0,14,11,0,8,4,-1
3,13,11,0,8,5,-1
1,14,11,1,8,6,-1
0,14,12,0,9,7,-1
0,14,13,0,10,8,-1
0,14,14,0,10,9,-1
2,14,13,0,11,9,-1
3,13,13,0,12,9,-1
3,12,13,1,13,9,-1
3,11,13,1,13,11,-1
1,12,13,0,14,10,-1
3,11,13,0,13,10,-1
0,11,14,1,13,11,-1
2,11,13,1,14,10,-1
1,12,13,1,13,10,-1
3,11,13,1,13,11,-1
1,12,13,1,13,10,-1
3,11,13,1,13,11,-1
3,10,13,0,14,10,-1
1,11,13,1,14,9,-1
3,10,13,0,14,10,-1
1,11,13,1,13,11,-1
3,10,13,0,13,10,-1
1,11,13,1,13,11,-1
3,10,13,0,13,10,-1
1,11,13,1,14,10,-1
3,10,13,0,13,11,-1
1,11,13,0,13,10,-1
0,11,14,1,13,11,-1
2,11,13,0,13,10,-1
3,10,13,0,13,11,-1
1,11,13,0,14,11,-1
1,12,13,0,13,11,-1
3,11,13,0,13,10,-1
3,10,13,0,13,11,-1
1,11,13,1,14,10,-1
3,10,13,0,13,11,-1
1,11,13,1,14,10,-1
3,10,13,0,13,10,-1
1,11,13,1,13,11,-1
3,10,13,0,14,11,-1
1,11,13,1,13,11,-1
3,10,13,0,13,10,-1
1,11,13,1,13,11,-1
3,10,13,0,14,10,-1
1,11,13,0,13,10,-1
3,10,13,0,13,11,-1
3,10,14,1,14,10,-1
