Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,1,1,0,-1
1,8,1,1,3,0,-1
0,8,2,1,2,0,-1
1,9,2,1,4,0,-1
1,10,2,0,6,0,-1
1,11,2,0,7,0,-1
0,11,3,0,8,0,-1
1,12,3,0,8,1,-1
1,13,3,1,7,1,-1
1,14,3,0,8,1,-1
0,14,4,1,7,1,-1
0,14,5,1,8,1,-1
0,14,6,0,8,0,-1
0,14,7,0,9,0,-1
0,14,8,0,8,0,-1
0,14,9,0,9,0,-1
0,14,10,0,8,0,-1
0,14,11,0,8,1,-1
0,14,12,0,8,0,-1
0,14,13,0,9,0,-1
0,14,14,0,8,0,-1
2,14,13,0,8,1,-1
3,13,13,0,8,2,-1
3,12,13,0,7,2,-1
1,13,13,0,7,1,-1
0,13,14,0,8,1,-1
1,14,14,0,8,2,-1
3,13,14,0,9,2,-1
3,12,14,0,10,2,-1
3,11,14,0,9,2,-1
2,11,13,0,10,2,-1
3,10,13,0,11,2,-1
0,10,14,0,11,3,-1
3,9,14,0,12,3,-1
1,10,14,0,12,4,-1
3,9,14,0,12,3,-1
3,8,14,0,12,2,-1
3,7,14,0,13,2,999
3,7,14,0,13,2,999
