Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,0,0
0,7,1,0,0,1,-1
1,8,1,1,0,2,-1
2,8,0,0,0,1,-1
1,9,0,1,0,0,-1
1,10,0,1,0,0,-1
1,11,0,1,0,0,-1
1,12,0,0,0,1,-1
1,13,0,0,0,1,-1
1,14,0,1,0,0,-1
0,14,1,1,0,0,-1
0,14,2,0,0,0,-1
0,14,3,0,0,0,-1
0,14,4,0,0,0,-1
0,14,5,0,0,0,-1
0,14,6,1,0,0,-1
0,14,7,1,0,1,-1
0,14,8,1,0,0,-1
0,14,9,0,0,1,-1
0,14,10,0,0,3,-1
0,14,11,0,0,4,-1
3,13,11,0,0,5,-1
3,12,11,0,0,4,-1
0,12,12,0,0,5,-1
3,11,12,0,0,6,-1
3,10,12,0,0,7,-1
0,10,13,0,0,8,-1
1,11,13,0,0,7,-1
3,10,13,0,0,8,-1
2,10,12,0,0,9,-1
0,10,13,0,0,9,-1
2,10,12,0,0,10,-1
1,11,12,0,1,10,-1
1,12,12,0,0,10,-1
1,13,12,0,0,11,-1
1,14,12,0,0,12,-1
2,14,11,0,0,13,-1
2,14,10,0,0,12,-1
2,14,9,0,0,11,-1
3,13,9,0,0,12,-1
3,12,9,0,0,11,-1
3,11,9,0,0,12,-1
3,10,9,0,0,13,-1
3,9,9,0,0,12,-1
3,8,9,0,0,11,-1
3,7,9,0,0,12,-1
0,7,10,0,0,11,-1
0,7,11,0,0,12,-1
0,7,12,0,0,11,-1
0,7,13,0,0,12,-1
0,7,14,0,0,11,999
0,7,14,0,0,11,999
