Action,Agent X,Agent Y,Observation,Predator X,Predator Y,Reward
-1,7,0,-1,0,14,0
1,8,0,1,0,13,-1
1,9,0,0,1,13,-1
1,10,0,0,0,13,-1
1,11,0,0,1,13,-1
1,12,0,0,0,13,-1
0,12,1,0,1,13,-1
0,12,2,0,1,14,-1
1,13,2,0,0,14,-1
1,14,2,0,0,13,-1
0,14,3,0,0,14,-1
0,14,4,0,1,14,-1
0,14,5,0,1,13,-1
2,14,4,0,1,12,-1
3,13,4,0,2,12,-1
0,13,5,0,2,13,-1
3,12,5,0,2,14,-1
3,11,5,0,1,14,-1
0,11,6,0,1,13,-1
3,10,6,0,1,12,-1
0,10,7,0,1,13,-1
0,10,8,0,2,13,-1
3,9,8,0,3,13,-1
0,9,9,0,3,12,-1
3,8,9,0,4,12,-1
0,8,10,0,4,13,-1
2,8,9,0,4,12,-1
1,9,9,0,5,12,-1
0,9,10,0,6,12,-1
0,9,11,1,7,12,-1
0,9,12,1,9,12,-101
0,9,12,1,9,12,-101
